Generating SQLite file /home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260730_153855/unifolm_vla0_nsys.sqlite from /home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260730_153855/unifolm_vla0_nsys.nsys-rep
Processing [/home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260730_153855/unifolm_vla0_nsys.sqlite] with [/opt/nvidia/nsight-systems/2023.1.2/host-linux-x64/reports/cuda_gpu_trace.py]... 

 ** CUDA GPU Trace (cuda_gpu_trace):

  Start (ns)    Duration (ns)  CorrId  GrdX  GrdY  GrdZ  BlkX  BlkY  BlkZ  Reg/Trd  StcSMem (MB)  DymSMem (MB)  Bytes (MB)  Throughput (MBps)  SrcMemKd  DstMemKd           Device           Ctx  Strm         Name       
 -------------  -------------  ------  ----  ----  ----  ----  ----  ----  -------  ------------  ------------  ----------  -----------------  --------  --------  ------------------------  ---  ----  ------------------
 8,069,805,000          1,888     649  None  None  None  None  None  None  None     None          None               0.000              1.059  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,299,619,294    167,385,334     772  None  None  None  None  None  None  None     None          None           1,089.995          5,449.974  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,468,798,197          2,272     798  None  None  None  None  None  None  None     None          None               0.007          3,154.924  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,469,978,517     20,931,819     829  None  None  None  None  None  None  None     None          None             135.791          6,382.158  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,492,294,081     21,722,187     858  None  None  None  None  None  None  None     None          None             135.791          6,246.367  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,515,554,957     21,161,707     889  None  None  None  None  None  None  None     None          None             135.791          6,382.158  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,537,174,424          2,400     904  None  None  None  None  None  None  None     None          None               0.007          2,986.662  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,537,403,640          1,408     919  None  None  None  None  None  None  None     None          None               0.001            727.272  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,537,799,320        479,488     934  None  None  None  None  None  None  None     None          None               3.670          7,651.983  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,538,956,569      3,885,154     953  None  None  None  None  None  None  None     None          None              25.690          6,602.359  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,543,108,571          2,080     968  None  None  None  None  None  None  None     None          None               0.007          3,446.152  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,543,807,451      3,891,362     989  None  None  None  None  None  None  None     None          None              25.690          6,576.669  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,547,950,941          1,408   1,004  None  None  None  None  None  None  None     None          None               0.001            727.272  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,548,340,413        458,177   1,019  None  None  None  None  None  None  None     None          None               3.670          8,007.975  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,549,024,894          2,080   1,034  None  None  None  None  None  None  None     None          None               0.007          3,446.152  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,550,105,022     20,929,259   1,063  None  None  None  None  None  None  None     None          None             135.791          6,382.158  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,572,520,778     20,885,931   1,094  None  None  None  None  None  None  None     None          None             135.791          6,382.158  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,594,834,518     20,831,786   1,123  None  None  None  None  None  None  None     None          None             135.791          6,517.948  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,616,124,896          2,400   1,138  None  None  None  None  None  None  None     None          None               0.007          2,986.662  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,616,354,849          1,407   1,153  None  None  None  None  None  None  None     None          None               0.001            727.790  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,616,744,129        462,080   1,168  None  None  None  None  None  None  None     None          None               3.670          7,941.915  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,617,987,105      3,856,354   1,189  None  None  None  None  None  None  None     None          None              25.690          6,653.739  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,622,100,580          2,079   1,204  None  None  None  None  None  None  None     None          None               0.007          3,447.808  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,622,686,340      3,858,114   1,223  None  None  None  None  None  None  None     None          None              25.690          6,653.739  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,626,802,598          1,376   1,238  None  None  None  None  None  None  None     None          None               0.001            744.186  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,627,187,622        460,736   1,253  None  None  None  None  None  None  None     None          None               3.670          7,963.935  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,627,873,927          2,079   1,268  None  None  None  None  None  None  None     None          None               0.007          3,447.808  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,628,953,543     20,842,795   1,297  None  None  None  None  None  None  None     None          None             135.791          6,382.158  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,651,292,466     21,061,259   1,328  None  None  None  None  None  None  None     None          None             135.791          6,382.158  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,673,781,118     21,880,235   1,357  None  None  None  None  None  None  None     None          None             135.791          6,110.577  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,696,120,138          2,079   1,372  None  None  None  None  None  None  None     None          None               0.007          3,447.808  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,696,348,745          1,409   1,387  None  None  None  None  None  None  None     None          None               0.001            726.756  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,697,030,154        470,336   1,406  None  None  None  None  None  None  None     None          None               3.670          7,802.454  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,698,079,210      3,975,459   1,425  None  None  None  None  None  None  None     None          None              25.690          6,448.218  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,702,320,781          2,400   1,440  None  None  None  None  None  None  None     None          None               0.007          2,986.662  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,702,897,805      3,910,210   1,459  None  None  None  None  None  None  None     None          None              25.690          6,550.979  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,707,062,447          1,376   1,474  None  None  None  None  None  None  None     None          None               0.001            744.186  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,707,447,183        464,929   1,489  None  None  None  None  None  None  None     None          None               3.670          7,890.534  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,708,137,232          2,048   1,504  None  None  None  None  None  None  None     None          None               0.007          3,499.998  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,709,313,616     21,500,587   1,535  None  None  None  None  None  None  None     None          None             135.791          6,246.367  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,732,230,332     20,867,915   1,564  None  None  None  None  None  None  None     None          None             135.791          6,382.158  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,754,533,608     20,468,458   1,595  None  None  None  None  None  None  None     None          None             135.791          6,517.948  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,775,452,690          2,080   1,610  None  None  None  None  None  None  None     None          None               0.007          3,446.152  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,775,682,834          1,377   1,625  None  None  None  None  None  None  None     None          None               0.001            743.645  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
