VLA action generation — torch.profiler key averages
profiler_source=pytorch_profiler
generated_at=2026-07-30T15:17:05
run_tag=pytorch_profiler_20260730_151507
sort_by=cuda_time_total | n_profile_steps=3
========================================================================

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         3.22%      50.826ms        63.18%     996.129ms     196.475us       0.000us         0.00%        2.678s     528.295us           0 b           0 b       4.49 Gb     -70.04 Gb          5070  
void magma_sgemmEx_kernel<float, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us        1.068s        66.63%        1.068s     991.737us           0 b           0 b           0 b           0 b          1077  
                                           aten::matmul         0.59%       9.294ms         2.95%      46.552ms      66.313us       0.000us         0.00%     746.027ms       1.063ms           0 b           0 b       1.50 Gb           0 b           702  
                                               aten::mm         0.61%       9.623ms         0.86%      13.583ms      40.069us     730.966ms        45.60%     730.966ms       2.156ms           0 b           0 b     817.36 Mb     817.36 Mb           339  
                                            aten::addmm         4.86%      76.662ms        12.41%     195.707ms      89.120us     470.667ms        29.36%     470.667ms     214.329us           0 b           0 b       1.32 Gb       1.32 Gb          2196  
                                            aten::copy_         5.60%      88.237ms        26.83%     423.104ms      54.057us     292.587ms        18.25%     292.587ms      37.382us           0 b           0 b           0 b           0 b          7827  
                                               aten::to         0.88%      13.954ms        34.32%     541.207ms      63.012us       0.000us         0.00%     290.324ms      33.802us      12.87 Kb           0 b      72.53 Gb           0 b          8589  
                                         aten::_to_copy         3.00%      47.247ms        33.44%     527.253ms      70.867us       0.000us         0.00%     290.324ms      39.022us      12.87 Kb           0 b      72.53 Gb           0 b          7440  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     210.349ms        13.12%     210.349ms      60.971us           0 b           0 b           0 b           0 b          3450  
