L_task,L_teacher,L_total,anchors,control_steps,effective_control_hz,episode,grasp_success,joint_limit_violation,max_cloth_jump_m,method,rollout_latency_s,seed,sim_duration_s,split,steps_per_wall_s,table_contact_ratio,task_success,teacher_source,teacher_weight,wipe_coverage_m2,wipe_path_length_m
703.1785031259494,1.8063110614097433,703.1785031259494,19,1063,276.37407337459246,160,True,True,0.8951324548816119,spsa,3.847442372702062,0,10.633333206176758,heldout,276.37407337459246,0.04259259259259259,False,demonstration_proxy,0.0,0.1124,60.040645998945095
664.1779776630444,1.4512904641321964,664.1779776630444,18,1010,345.96741523678037,161,True,True,1.0363137498491979,spsa,2.9193501863628626,0,10.100000381469727,heldout,345.96741523678037,0.017759562841530054,False,demonstration_proxy,0.0,0.057999999999999996,94.65023482648283
818.3263850427587,3.559806984538833,818.3263850427587,21,1160,305.3833376277626,162,True,True,0.9176811833296384,spsa,3.798504683189094,0,11.600000381469727,heldout,305.3833376277626,0.037089871611982884,False,demonstration_proxy,0.0,0.086,79.0324075930996
147.58527683503257,28902.674859614704,147.58527683503257,22,1253,303.89763881203095,163,True,True,1.142650998318536,spsa,4.1241958402097225,0,12.533333778381348,heldout,303.89763881203095,0.025510204081632654,False,demonstration_proxy,0.0,0.0708,91.84177315731772
2245.0427821467356,11.870877642946487,2245.0427821467356,22,1213,264.83631243992585,164,True,True,1.024754693547118,spsa,4.581446212716401,0,12.133333206176758,heldout,264.83631243992585,0.03260869565217391,False,demonstration_proxy,0.0,0.16440000000000002,85.17278287145615
152.95626054089013,2.678071129694581,152.95626054089013,25,1393,255.42572207417393,165,True,True,0.9902904760512317,spsa,5.454945290461183,0,13.933333396911621,heldout,255.42572207417396,0.04196642685851319,False,demonstration_proxy,0.0,0.1476,86.27786145002294
3406.401734180505,273384.8031595878,3406.401734180505,18,996,331.280902545589,166,True,True,1.1388411485454744,spsa,3.008524229750037,0,9.966666221618652,heldout,331.28090254558896,0.02640845070422535,False,demonstration_proxy,0.0,0.0332,75.8458302693618
672.3702203972067,1.3454533843323588,672.3702203972067,22,1226,346.11764961839214,167,True,True,0.8951823803662132,spsa,3.5440742261707783,0,12.266666412353516,heldout,346.1176496183921,0.033773861967694566,False,demonstration_proxy,0.0,0.1308,91.85492540552602
304.4817792324523,2.8041751767353467,304.4817792324523,24,1346,180.36643182741062,168,True,True,0.5557480848375791,spsa,7.4662818824872375,0,13.466666221618652,heldout,180.3664318274106,0.14285714285714285,False,demonstration_proxy,0.0,0.14800000000000002,23.89885699885432
1627.319365908249,2.625513638200408,1627.319365908249,22,1210,257.96585817562664,169,True,True,1.0494665655904165,spsa,4.690543340519071,0,12.100000381469727,heldout,257.96585817562664,0.025594149908592323,False,demonstration_proxy,0.0,0.0468,69.32438511647274
1314.414040077658,1.8772280860160078,1314.414040077658,21,1196,328.7809122174476,170,True,True,0.9124297095936522,spsa,3.6397083215415478,0,11.966666221618652,heldout,328.7809122174476,0.015060240963855422,False,demonstration_proxy,0.0,0.0724,89.35437861398475
1723.994256352507,1.2540275658667088,1723.994256352507,25,1386,332.28197786936903,171,True,True,1.1365756083032095,spsa,4.173162469640374,0,13.866666793823242,heldout,332.28197786936903,0.018556701030927835,False,demonstration_proxy,0.0,0.0376,122.71792880971437
2174.4315521170297,1.9726451124168105,2174.4315521170297,18,1019,311.247550481055,172,True,True,0.9131875710042844,spsa,3.2771341633051634,0,10.199999809265137,heldout,311.247550481055,0.035541195476575124,False,demonstration_proxy,0.0,0.0704,82.40887077816835
1649.7109421077816,1.70596544906497,1649.7109421077816,25,1369,316.24771278572643,173,True,True,0.8801880881230996,spsa,4.332047080621123,0,13.699999809265137,heldout,316.24771278572643,0.03155339805825243,False,demonstration_proxy,0.0,0.10120000000000001,102.86440399268872
1191.2992247782786,1.7856531110168858,1191.2992247782786,22,1203,338.22283155884196,174,True,True,0.9737363361653366,spsa,3.5578123815357685,0,12.033333778381348,heldout,338.222831558842,0.03125,False,demonstration_proxy,0.0,0.0472,46.66560112662573
2203.088648426115,114309.51462695892,2203.088648426115,22,1233,203.76914849737528,175,True,True,1.026957689053809,spsa,6.0526007525622845,0,12.333333015441895,heldout,203.76914849737528,0.0520694259012016,False,demonstration_proxy,0.0,0.0968,84.94240878974077
3.753227639619304,3.446624931395054,3.753227639619304,25,1413,164.28245980016246,176,True,True,0.1561930039863405,spsa,8.60306889936328,0,14.133333206176758,heldout,164.28245980016246,0.04426002766251729,False,demonstration_proxy,0.0,0.0,8.782104804222918
5.370757139400415,2.435906455665827,5.370757139400415,20,1123,211.12580448311599,177,True,True,0.9651030736117087,spsa,5.320682431571186,0,11.233333587646484,heldout,211.125804483116,0.09246575342465753,False,demonstration_proxy,0.0,0.0776,60.63132102542829
1568.265584698694,17.21056302310899,1568.265584698694,20,1103,287.8269589916307,178,True,True,1.0005006051450593,spsa,3.8333218740299344,0,11.033333778381348,heldout,287.82695899163065,0.01217391304347826,False,demonstration_proxy,0.0,0.044000000000000004,66.6716443354967
1426.5614438932355,1.407566057941453,1426.5614438932355,22,1226,324.0163933072809,179,True,True,1.0020757620199239,spsa,3.785816602408886,0,12.266666412353516,heldout,324.0163933072809,0.04579207920792079,False,demonstration_proxy,0.0,0.1192,102.75446582678941
899.3537216178194,527.8320448887534,899.3537216178194,24,1316,302.0876821660563,180,True,True,1.1506724346767128,spsa,4.35855804849416,0,13.166666984558105,heldout,302.0876821660563,0.04744958481613286,False,demonstration_proxy,0.0,0.06520000000000001,104.16099788166827
2026.6829677527585,3.3623783965077667,2026.6829677527585,27,1486,195.62265895181216,181,True,True,1.1054108935845703,spsa,7.599665025249124,0,14.866666793823242,heldout,195.62265895181216,0.22848360655737704,False,demonstration_proxy,0.0,0.1028,49.42068511720831
3503.4353227049673,27447.627342160482,3503.4353227049673,24,1319,349.00241980181283,182,True,True,0.9504041457158919,spsa,3.7822086783125997,0,13.199999809265137,heldout,349.00241980181283,0.03513174404015056,False,demonstration_proxy,0.0,0.0992,106.62891428326661
626.3870895617433,2.1267705165634028,626.3870895617433,19,1076,312.6863450687455,183,True,True,1.0711592327499895,spsa,3.4432800095528364,0,10.766666412353516,heldout,312.68634506874554,0.018998272884283247,False,demonstration_proxy,0.0,0.11080000000000001,70.32522224609261
14.261582482491136,15274.050956336208,14.261582482491136,26,1463,155.02521151314096,184,True,True,0.6930344621743756,spsa,9.439324780367315,0,14.633333206176758,heldout,155.02521151314096,0.007616974972796518,False,demonstration_proxy,0.0,0.0728,25.86754718027651
2794.7997294579745,1.4996411403020222,2794.7997294579745,21,1189,326.3371816295417,185,True,True,1.1861407165739368,spsa,3.6465350221842527,0,11.899999618530273,heldout,326.3371816295417,0.018779342723004695,False,demonstration_proxy,0.0,0.0772,80.1969179180239
