L_task,L_teacher,L_total,ablation,anchors,episode,grasp_success,joint_limit_violation,max_cloth_jump_m,seed,table_contact_ratio,task_success,teacher_on_eval,teacher_source,teacher_weight,wipe_coverage_m2,wipe_path_length_m
160.42304838883211,2.3367386292782073,160.42304838883211,bc_initializer_only,27,4,True,True,1.0683070504361887,0,0.058027079303675046,False,,demonstration_proxy,0.0,0.13640000000000002,121.14029695845528
76.52235531526208,17.456213304786544,76.52235531526208,bc_initializer_only,26,5,True,True,0.894327144912589,0,0.045813586097946286,False,,demonstration_proxy,0.0,0.10960000000000002,57.90908395326992
976.6909947556965,2.015618162622559,976.6909947556965,bc_initializer_only,18,6,True,True,1.2166790531241063,0,0.022950819672131147,False,,demonstration_proxy,0.0,0.0768,78.84717354142953
4.366937143211466,2.716490575765089,4.366937143211466,bc_initializer_only,22,0,False,True,0.0,0,0.0,False,,demonstration_proxy,0.0,0.0,0.0
633.492662110028,2.1261726548826254,633.492662110028,task_loss_only,27,4,True,True,0.9961943933487555,0,0.030392156862745098,False,,demonstration_proxy,0.0,0.1568,123.99548296575344
48.56978756808751,15.707954951561987,48.56978756808751,task_loss_only,26,5,True,True,1.0703187496384043,0,0.029137529137529136,False,,demonstration_proxy,0.0,0.096,109.69292610621218
985.1194991664572,37.879515532404184,985.1194991664572,task_loss_only,18,6,True,True,0.8363332124126773,0,0.021487603305785124,False,,demonstration_proxy,0.0,0.11480000000000001,83.93141899440984
166.3909887275644,2.9263204947452652,166.3909887275644,task_loss_only,22,0,True,True,0.8745295792120714,0,0.019230769230769232,False,,demonstration_proxy,0.0,0.0396,26.985099559601792
705.5360361872775,3.9879365021532234,709.5239726894308,task_plus_real_sparse_teacher,22,0,True,True,0.9593885618586041,0,0.04580152671755725,False,,frozen_unifolm_cache,1.0,0.1416,48.586012875201405
2570.5252448445667,17504.88685619555,2570.5252448445667,task_plus_real_sparse_teacher,27,4,True,True,1.1145288605236945,0,0.029850746268656716,False,False,demonstration_proxy,0.0,0.10800000000000001,91.63656302801189
1542.0700479731456,6.457265982905833,1542.0700479731456,task_plus_real_sparse_teacher,26,5,True,True,1.079359313966903,0,0.027348394768133173,False,False,demonstration_proxy,0.0,0.1292,91.31559141823433
22.85965027169879,3.382299046859973,22.85965027169879,task_plus_real_sparse_teacher,18,6,True,True,0.5360906715035085,0,0.01001669449081803,False,False,demonstration_proxy,0.0,0.057999999999999996,8.396949857817303
11516.66043383928,3.3516800200397316,11520.01211385932,real_sparse_teacher_only,22,0,False,True,0.0,0,0.0,False,,frozen_unifolm_cache,1.0,0.0,0.0
1267.3000381519175,3.1754376692352473,1267.3000381519175,best_vs_spsa:spsa,27,4,True,True,1.1211100497381152,0,0.03112033195020747,False,,demonstration_proxy,0.0,0.114,129.53752799514527
474.7249112180079,1.8878830348929534,474.7249112180079,best_vs_spsa:spsa,26,5,False,True,0.0,0,0.0,False,,demonstration_proxy,0.0,0.0,0.0
291.9754976737816,2.0529778940189214,291.9754976737816,best_vs_spsa:spsa,18,6,True,True,0.9733551759582885,0,0.026622296173044926,False,,demonstration_proxy,0.0,0.06480000000000001,73.65712556595356
146.51895429964398,1.5054421368139712,146.51895429964398,best_vs_spsa:spsa,22,0,True,True,0.9173767309137308,0,0.01718213058419244,False,,demonstration_proxy,0.0,0.0672,75.89874506630711
