L_task,L_teacher,L_total,anchors,budget,episode,grasp_success,joint_limit_violation,max_cloth_jump_m,method,seed,split,table_contact_ratio,task_success,teacher_source,teacher_weight,train_L_total,val_L_task_mean,wipe_coverage_m2,wipe_path_length_m
1800.8162913148824,2.0788167759051754,1800.8162913148824,27,8,4,True,True,0.948528541361699,random,0,validation,0.062317429406037,False,demonstration_proxy,0.0,74.13256646942283,,0.09720000000000001,122.0537837475772
100.72954501334233,3.0930243376821567,100.72954501334233,26,8,5,True,True,0.4933064584337111,random,0,validation,0.07717750826901874,False,demonstration_proxy,0.0,74.13256646942283,,0.1452,39.67521396842158
512.5507349838547,1.5486978349638068,512.5507349838547,18,8,6,True,True,0.9059884908630514,random,0,validation,0.06885245901639345,False,demonstration_proxy,0.0,74.13256646942283,,0.08960000000000001,79.34106557194022
43.5365509388691,30.596015530553732,74.13256646942283,22,8,0,True,True,0.9723164953672956,random,0,train_opt,0.12335526315789473,False,frozen_unifolm_cache,1.0,,804.6988571040265,0.1028,66.03563216086516
1267.3000381519175,3.1754376692352473,1267.3000381519175,27,8,4,True,True,1.1211100497381152,spsa,0,validation,0.03112033195020747,False,demonstration_proxy,0.0,149.70382834657656,,0.114,129.53752799514527
474.7249112180079,1.8878830348929534,474.7249112180079,26,8,5,False,True,0.0,spsa,0,validation,0.0,False,demonstration_proxy,0.0,149.70382834657656,,0.0,0.0
291.9754976737816,2.0529778940189214,291.9754976737816,18,8,6,True,True,0.9733551759582885,spsa,0,validation,0.026622296173044926,False,demonstration_proxy,0.0,149.70382834657656,,0.06480000000000001,73.65712556595356
146.51895429964398,3.1848740469325674,149.70382834657656,22,8,0,True,True,0.9173767309137308,spsa,0,train_opt,0.01718213058419244,False,frozen_unifolm_cache,1.0,,678.000149014569,0.0672,75.89874506630711
654.7265049432687,8.77917595774677,654.7265049432687,27,8,4,True,True,1.0460726874939914,cem,0,validation,0.033170731707317075,False,demonstration_proxy,0.0,51.82566914072437,,0.0492,103.134329146726
86.03426875260833,2.427792360330036,86.03426875260833,26,8,5,True,True,1.036938647700567,cem,0,validation,0.05974025974025974,False,demonstration_proxy,0.0,51.82566914072437,,0.11480000000000001,44.28167427267523
294.93979677351905,1.9519470906945773,294.93979677351905,18,8,6,True,True,1.0823609989462255,cem,0,validation,0.036544850498338874,False,demonstration_proxy,0.0,51.82566914072437,,0.1152,79.54979265050504
46.75139374734672,5.0742753933776505,51.82566914072437,22,8,0,True,True,0.17525481466145354,cem,0,train_opt,0.014652014652014652,False,frozen_unifolm_cache,1.0,,345.2335234897987,0.0564,10.106163193661304
363.4033013887051,3.270886489543719,363.4033013887051,27,8,4,True,True,0.23244516898070824,cmaes,0,validation,0.022243713733075435,False,demonstration_proxy,0.0,315.51273252460356,,0.1216,43.875800101849855
895.3143369643224,2.073426559370441,895.3143369643224,26,8,5,False,True,0.0,cmaes,0,validation,0.0,False,demonstration_proxy,0.0,315.51273252460356,,0.0,0.0
1150.439443645134,1.9127400609043737,1150.439443645134,18,8,6,True,True,1.0531222130765476,cmaes,0,validation,0.11461794019933555,False,demonstration_proxy,0.0,315.51273252460356,,0.1812,61.56261579606833
311.62012587336244,3.8926066512411293,315.51273252460356,22,8,0,True,True,0.8712980933049098,cmaes,0,train_opt,0.08614864864864864,False,frozen_unifolm_cache,1.0,,803.0523606660539,0.1352,61.734844730202795
483.3494981038547,2.143135004452671,483.3494981038547,27,8,4,True,True,1.0558727195817612,random,1,validation,0.027196652719665274,False,demonstration_proxy,0.0,175.2952086964761,,0.09960000000000001,99.29976361204278
940.0959126620257,1.5202625199095705,940.0959126620257,26,8,5,True,True,0.7887210042349895,random,1,validation,0.03676470588235294,False,demonstration_proxy,0.0,175.2952086964761,,0.0684,30.79221644813155
2456.360640759113,2.3428788877920144,2456.360640759113,18,8,6,True,True,0.9156872105922724,random,1,validation,0.016863406408094434,False,demonstration_proxy,0.0,175.2952086964761,,0.0928,59.4399649952657
171.04844256679814,4.246766129677946,175.2952086964761,22,8,0,True,True,0.7015534149923607,random,1,train_opt,0.062034739454094295,False,frozen_unifolm_cache,1.0,,1293.2686838416646,0.10800000000000001,29.141770464609543
990.5677232080443,172.20949475060183,990.5677232080443,27,8,4,True,True,0.8179095834859931,spsa,1,validation,0.028795811518324606,False,demonstration_proxy,0.0,118.09568591219272,,0.0672,35.62218782241423
1251.1626075786971,2.812056931237189,1251.1626075786971,26,8,5,False,True,0.0,spsa,1,validation,0.0,False,demonstration_proxy,0.0,118.09568591219272,,0.0,0.0
771.2958465586626,1.8922827207586832,771.2958465586626,18,8,6,True,True,1.0325434377087823,spsa,1,validation,0.04482758620689655,False,demonstration_proxy,0.0,118.09568591219272,,0.11480000000000001,77.39995019817431
114.22255107970214,3.873134832490574,118.09568591219272,22,8,0,False,True,0.0,spsa,1,train_opt,0.0,False,frozen_unifolm_cache,1.0,,1004.3420591151347,0.0,0.0
805.9996324657592,2.4080712065505967,805.9996324657592,27,8,4,True,True,0.9307303389181708,cem,1,validation,0.15458937198067632,False,demonstration_proxy,0.0,8.654506901960637,,0.0816,53.15011734988219
6279.87241148787,1.5437445586206964,6279.87241148787,26,8,5,True,True,1.041168172751103,cem,1,validation,0.014084507042253521,False,demonstration_proxy,0.0,8.654506901960637,,0.0672,57.39645597037486
194.95974773892505,14.227465708558965,194.95974773892505,18,8,6,True,True,0.8785617429074473,cem,1,validation,0.0361247947454844,False,demonstration_proxy,0.0,8.654506901960637,,0.1116,77.23294865470712
3.3594449059233265,5.29506199603731,8.654506901960637,22,8,0,True,True,0.26491360115033413,cem,1,train_opt,0.0018115942028985507,False,frozen_unifolm_cache,1.0,,2426.943930564185,0.0,19.74011784629367
1376.27318823311,1.9831481087538931,1376.27318823311,27,8,4,True,True,0.9784247760664644,cmaes,1,validation,0.04532019704433497,False,demonstration_proxy,0.0,82.8512499040153,,0.1244,113.97483988601098
746.724086923582,2.03476966256634,746.724086923582,26,8,5,True,True,0.8950588040575367,cmaes,1,validation,0.04227642276422764,False,demonstration_proxy,0.0,82.8512499040153,,0.1068,65.56721719883689
461.685208731826,2.1952785072757655,461.685208731826,18,8,6,True,True,1.0052267073778924,cmaes,1,validation,0.026578073089700997,False,demonstration_proxy,0.0,82.8512499040153,,0.0504,65.71961153979713
79.23154282220973,3.619707081805576,82.8512499040153,22,8,0,True,True,1.008583113589836,cmaes,1,train_opt,0.03406813627254509,False,frozen_unifolm_cache,1.0,,861.5608279628394,0.1496,57.93102155595109
1282.5206698622428,4.123194554010062,1282.5206698622428,27,8,4,True,True,0.4422594047390078,random,2,validation,0.042105263157894736,False,demonstration_proxy,0.0,7.15911964750255,,0.053200000000000004,4.38268456871591
1388.7834349762777,2.146619950367424,1388.7834349762777,26,8,5,True,True,0.6411775374915498,random,2,validation,0.015503875968992248,False,demonstration_proxy,0.0,7.15911964750255,,0.031200000000000002,25.144117616917455
1837.5332779343667,2.3668501865920715,1837.5332779343667,18,8,6,True,True,0.7770976299763472,random,2,validation,0.019933554817275746,False,demonstration_proxy,0.0,7.15911964750255,,0.10560000000000001,66.22032360120946
2.8542486085454746,4.304871038957075,7.15911964750255,22,8,0,True,True,0.1895018662301932,random,2,train_opt,0.12103174603174603,False,frozen_unifolm_cache,1.0,,1502.945794257629,0.0672,9.988980032453618
117.65822666166581,2.883451448477529,117.65822666166581,27,8,4,True,True,0.4452404444578897,spsa,2,validation,0.03225806451612903,False,demonstration_proxy,0.0,518.5815103250852,,0.0432,14.027247916676536
575.8591364446123,3.243039056372184,575.8591364446123,26,8,5,False,True,0.0,spsa,2,validation,0.0,False,demonstration_proxy,0.0,518.5815103250852,,0.0,0.0
73.45848211102225,2.7625191144438253,73.45848211102225,18,8,6,True,True,1.0277522528799323,spsa,2,validation,0.03436988543371522,False,demonstration_proxy,0.0,518.5815103250852,,0.1024,60.10888626863246
514.5688474280295,4.012662897055799,518.5815103250852,22,8,0,False,True,0.0,spsa,2,train_opt,0.0,False,frozen_unifolm_cache,1.0,,255.65861507243346,0.0,0.0
1138.0936141773661,166287.65144658834,1138.0936141773661,27,8,4,False,True,0.0,cem,2,validation,0.0,False,demonstration_proxy,0.0,50.92193314150277,,0.0,0.0
1921.3406079617016,1.752421097883668,1921.3406079617016,26,8,5,True,True,1.1490734655980253,cem,2,validation,0.013745704467353952,False,demonstration_proxy,0.0,50.92193314150277,,0.0708,61.73939220810932
218.1449143261106,2.9090516629059695,218.1449143261106,18,8,6,True,True,1.0251975010903178,cem,2,validation,0.035058430717863104,False,demonstration_proxy,0.0,50.92193314150277,,0.12480000000000001,50.03001339218716
47.14860126499727,3.773331876505505,50.92193314150277,22,8,0,True,True,1.0286269925817288,cem,2,train_opt,0.04830053667262969,False,frozen_unifolm_cache,1.0,,1092.5263788217262,0.10800000000000001,63.35145637627093
1484.4144797081956,48.88714674619647,1484.4144797081956,27,8,4,True,True,1.0024459946552644,cmaes,2,validation,0.05818540433925049,False,demonstration_proxy,0.0,76.45144049652002,,0.15480000000000002,114.31160979001947
2487.5187064125844,2.6191127667597565,2487.5187064125844,26,8,5,False,True,0.0,cmaes,2,validation,0.0,False,demonstration_proxy,0.0,76.45144049652002,,0.0,0.0
398.4172562234632,2.1191911628573306,398.4172562234632,18,8,6,True,True,0.9484756839927613,cmaes,2,validation,0.06557377049180328,False,demonstration_proxy,0.0,76.45144049652002,,0.1444,66.88835739275629
73.02676216544835,3.4246783310716804,76.45144049652002,22,8,0,True,True,0.9071572475792061,cmaes,2,train_opt,0.031180400890868598,False,frozen_unifolm_cache,1.0,,1456.7834807814145,0.0956,54.25735847705601
