contact_threshold,coverage_threshold,successes,n,success_rate,ci95_lo,ci95_hi
0.8,0.8,0,120,0.0,0.0,0.031020271055929513
0.8,0.9,0,120,0.0,0.0,0.031020271055929513
0.8,0.95,0,120,0.0,0.0,0.031020271055929513
0.9,0.8,0,120,0.0,0.0,0.031020271055929513
0.9,0.9,0,120,0.0,0.0,0.031020271055929513
0.9,0.95,0,120,0.0,0.0,0.031020271055929513
0.95,0.8,0,120,0.0,0.0,0.031020271055929513
0.95,0.9,0,120,0.0,0.0,0.031020271055929513
0.95,0.95,0,120,0.0,0.0,0.031020271055929513
