leaky_rate,ridge_alpha,mse,rmse,jerk,jerk_rms,selection_score
0.05,0.0001,0.006364942062646151,0.07978058700364488,0.001364668714813888,81800.59619040377,1.9999999991077337
0.05,0.01,0.0003806863387580961,0.01951118496550366,6.258882058318704e-05,15395.498008601237,0.10248087066645636
0.05,1.0,4.809519396076212e-06,0.0021930616489456494,4.373826868686592e-06,402.3547421093379,0.0006229246270643696
0.1,0.0001,2.51208184636198e-05,0.005012067284426636,1.0063831723527983e-05,5014.22277075713,0.007997389340408008
0.1,0.01,2.1425144950626418e-05,0.0046287303821486965,9.199443411489483e-06,4655.598112363946,0.0067812408126923275
0.1,1.0,2.4641569780214923e-06,0.0015697633509613772,4.4307053030934185e-06,376.29405807900343,0.0002962076578702195
0.3,0.0001,5.358003545552492e-05,0.007319838485617351,1.9520768546499312e-05,7916.925104147721,0.019421350973133612
0.3,0.01,0.0012414543889462948,0.035234278606866565,0.0006369102629832923,62688.753190239084,0.6599382649374594
0.3,1.0,8.451667099507176e-07,0.0009193294893294338,4.496503606787883e-06,309.62953036146627,9.018392930698755e-05
