VLA action generation — torch.profiler key averages
profiler_source=pytorch_profiler
generated_at=2026-07-30T15:24:31
run_tag=pytorch_profiler_20260730_152406
sort_by=cuda_time_total | n_profile_steps=3
========================================================================

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         3.22%      51.238ms        63.01%        1.001s     197.527us       0.000us         0.00%        2.679s     528.435us           0 b           0 b       5.25 Gb     -68.51 Gb          5070  
void magma_sgemmEx_kernel<float, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us        1.068s        66.62%        1.068s     991.721us           0 b           0 b           0 b           0 b          1077  
                                           aten::matmul         0.58%       9.238ms         2.92%      46.339ms      66.009us       0.000us         0.00%     745.969ms       1.063ms           0 b           0 b       1.50 Gb           0 b           702  
                                               aten::mm         0.63%       9.960ms         0.88%      13.914ms      41.044us     730.910ms        45.59%     730.910ms       2.156ms           0 b           0 b     817.36 Mb     817.36 Mb           339  
                                            aten::addmm         4.91%      77.965ms        12.36%     196.417ms      89.443us     471.107ms        29.38%     471.107ms     214.529us           0 b           0 b       1.32 Gb       1.32 Gb          2196  
                                            aten::copy_         5.52%      87.664ms        26.54%     421.824ms      53.893us     292.508ms        18.24%     292.508ms      37.372us           0 b           0 b           0 b           0 b          7827  
                                               aten::to         0.96%      15.178ms        34.29%     544.903ms      63.442us       0.000us         0.00%     290.247ms      33.793us      12.87 Kb           0 b      72.53 Gb           0 b          8589  
                                         aten::_to_copy         2.97%      47.146ms        33.33%     529.725ms      71.200us       0.000us         0.00%     290.247ms      39.012us      12.87 Kb           0 b      72.53 Gb           0 b          7440  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     210.285ms        13.12%     210.285ms      60.952us           0 b           0 b           0 b           0 b          3450  
