Generating SQLite file /home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260805_140403/unifolm_vla0_nsys.sqlite from /home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260805_140403/unifolm_vla0_nsys.nsys-rep
Processing [/home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260805_140403/unifolm_vla0_nsys.sqlite] with [/opt/nvidia/nsight-systems/2023.1.2/host-linux-x64/reports/cuda_gpu_trace.py]... 

 ** CUDA GPU Trace (cuda_gpu_trace):

  Start (ns)    Duration (ns)  CorrId  GrdX  GrdY  GrdZ  BlkX  BlkY  BlkZ  Reg/Trd  StcSMem (MB)  DymSMem (MB)  Bytes (MB)  Throughput (MBps)  SrcMemKd  DstMemKd           Device           Ctx  Strm         Name       
 8,920,873,747     22,008,586   1,357  None  None  None  None  None  None  None     None          None             135.791          6,110.577  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,943,333,693          2,080   1,372  None  None  None  None  None  None  None     None          None               0.007          3,446.152  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,943,568,221          1,408   1,387  None  None  None  None  None  None  None     None          None               0.001            727.272  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,944,262,206        470,816   1,406  None  None  None  None  None  None  None     None          None               3.670          7,791.444  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,945,328,478      3,993,442   1,425  None  None  None  None  None  None  None     None          None              25.690          6,422.528  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,949,591,456          2,368   1,440  None  None  None  None  None  None  None     None          None               0.007          3,027.025  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,950,295,552      4,220,482   1,459  None  None  None  None  None  None  None     None          None              25.690          6,062.866  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,954,776,930          1,408   1,474  None  None  None  None  None  None  None     None          None               0.001            727.272  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,955,174,754        463,585   1,489  None  None  None  None  None  None  None     None          None               3.670          7,916.225  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,955,874,691          2,079   1,504  None  None  None  None  None  None  None     None          None               0.007          3,447.808  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,957,068,003     21,609,001   1,535  None  None  None  None  None  None  None     None          None             135.791          6,246.367  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 8,980,109,357     21,241,769   1,564  None  None  None  None  None  None  None     None          None             135.791          6,382.158  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
