method,episode,rmse,mse,jerk,jerk_rms,control_hz,vla_hz
zoh,0,0.05815480,3.38198105e-03,1.90618710e-04,3.38463428e+04,100.0,2.0
linear,0,0.01346373,1.81271971e-04,3.81237373e-06,4.56035129e+02,100.0,2.0
pid,0,0.07697143,5.92460157e-03,5.47604577e-06,1.08411137e+03,100.0,2.0
