VLA action generation — torch.profiler key averages
profiler_source=pytorch_profiler
generated_at=2026-08-05T14:07:54
run_tag=pytorch_profiler_20260805_140730
sort_by=cuda_time_total | n_profile_steps=3
========================================================================

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         3.51%      49.988ms        62.25%     886.967ms     174.944us       0.000us         0.00%        2.337s     460.877us           0 b           0 b       4.36 Gb     -70.29 Gb          5070  
void magma_sgemmEx_kernel<float, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     919.596ms        65.42%     919.596ms     853.850us           0 b           0 b           0 b           0 b          1077  
                                           aten::matmul         0.62%       8.826ms         3.15%      44.843ms      63.879us       0.000us         0.00%     642.875ms     915.776us           0 b           0 b       1.50 Gb           0 b           702  
                                               aten::mm         0.67%       9.501ms         0.92%      13.111ms      38.676us     629.899ms        44.81%     629.899ms       1.858ms           0 b           0 b     817.36 Mb     817.36 Mb           339  
                                            aten::addmm         5.36%      76.418ms        12.09%     172.295ms      78.459us     411.553ms        29.28%     411.553ms     187.410us           0 b           0 b       1.32 Gb       1.32 Gb          2196  
                                            aten::copy_         6.06%      86.405ms        24.76%     352.772ms      45.071us     269.120ms        19.15%     269.120ms      34.384us           0 b           0 b           0 b           0 b          7827  
                                               aten::to         0.99%      14.078ms        33.36%     475.310ms      55.339us       0.000us         0.00%     267.121ms      31.100us      12.87 Kb           0 b      72.53 Gb           0 b          8589  
                                         aten::_to_copy         3.31%      47.112ms        32.37%     461.232ms      61.994us       0.000us         0.00%     267.121ms      35.903us      12.87 Kb           0 b      72.53 Gb           0 b          7440  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     191.384ms        13.61%     191.384ms      55.474us           0 b           0 b           0 b           0 b          3450  
